ホテルID,ホテル名,部屋番号,表示順,CTI連携キー,鍵開けURL,鍵開けCH番号
000000302,ホテルUs 競馬場,306,14,3615306,,
000000302,ホテルUs 競馬場,307,15,3615307,,
000000302,ホテルUs 競馬場,308,16,3615308,,
000000302,ホテルUs 競馬場,310,17,3615310,,
000000302,ホテルUs 競馬場,311,18,3615311,,
000000302,ホテルUs 競馬場,401,19,3615401,,
000000302,ホテルUs 競馬場,403,20,3615403,,
000000302,ホテルUs 競馬場,405,21,3615405,,
000000302,ホテルUs 競馬場,406,22,3615406,,
000000302,ホテルUs 競馬場,407,23,3615407,,
000000302,ホテルUs 競馬場,408,24,3615408,,
000000302,ホテルUs 競馬場,410,25,3615410,,
000000302,ホテルUs 競馬場,411,26,3615411,,
000000302,ホテルUs 競馬場,501,27,3615501,,
000000302,ホテルUs 競馬場,503,28,3615503,,
000000302,ホテルUs 競馬場,505,29,3615505,,
000000302,ホテルUs 競馬場,506,30,3615506,,
000000302,ホテルUs 競馬場,507,31,3615507,,
000000302,ホテルUs 競馬場,508,32,3615508,,
000000302,ホテルUs 競馬場,510,33,3615510,,
000000302,ホテルUs 競馬場,511,34,3615511,,
000000302,ホテルUs 競馬場,601,35,3615601,,
000000302,ホテルUs 競馬場,603,36,3615603,,
000000302,ホテルUs 競馬場,605,37,3615605,,
000000302,ホテルUs 競馬場,606,38,3615606,,
000000302,ホテルUs 競馬場,607,39,3615607,,
000000302,ホテルUs 競馬場,608,40,3615608,,
000000302,ホテルUs 競馬場,610,41,3615610,,
000000302,ホテルUs 競馬場,611,42,3615611,,
000000302,ホテルUs 競馬場,701,43,3615701,,
000000302,ホテルUs 競馬場,703,44,3615703,,
000000302,ホテルUs 競馬場,705,45,3615705,,
000000302,ホテルUs 競馬場,706,46,3615706,,
000000302,ホテルUs 競馬場,707,47,3615707,,
000000302,ホテルUs 競馬場,708,48,3615708,,
000000302,ホテルUs 競馬場,710,49,3615710,,
000000302,ホテルUs 競馬場,711,50,3615711,,
000000304,イエスタディ,51,1,5115051,,
000000304,イエスタディ,52,2,5115052,,
000000304,イエスタディ,53,3,5115053,,
000000304,イエスタディ,54,4,5115054,,
000000304,イエスタディ,56,5,5115056,,
000000304,イエスタディ,57,6,5115057,,
000000304,イエスタディ,58,7,5115058,,
000000304,イエスタディ,59,8,5115059,,
000000304,イエスタディ,60,9,5115060,,
